a,b,c,d
-0.497,0.1656,0.08588,-0.004266
-0.2425,0.1519,0.0552,-0.002931
-0.1596,0.1498,0.02442,-0.001515
0.0034,0.1702,0.00769,-0.000813
0.4316,0.0788,0.00281,-0.000356
0.261,0.023,0.00631,-0.000465
0.0698,0.0819,-0.00605,0.00011
